Job Title,Employment Type,Experience Level,Expertise Level,Salary,Company Location,Salary in USD,Employee Residence,Company Size,Year,Salary Relative,Experience Level Code,cost
Data Engineer,Full-Time,Mid,Intermediate,138000,United States,138000,United States,Medium,2024,0.9565793982930836,1,30145.608000000007
Data Engineer,Full-Time,Mid,Intermediate,86000,United States,86000,United States,Medium,2024,0.5961291902406172,1,30145.608000000007
Data Analyst,Full-Time,Entry,Junior,179000,United States,179000,United States,Medium,2024,1.2407805238729126,0,30145.608000000007
Data Analyst,Full-Time,Entry,Junior,112000,United States,112000,United States,Medium,2024,0.7763542942668503,0,30145.608000000007
Business Intelligence Developer,Full-Time,Mid,Intermediate,92000,United States,92000,United States,Medium,2024,0.6377195988620556,1,30145.608000000007
Business Intelligence Developer,Full-Time,Mid,Intermediate,80000,United States,80000,United States,Medium,2024,0.5545387816191788,1,30145.608000000007
BI Developer,Full-Time,Senior,Expert,90000,United States,90000,United States,Medium,2024,0.6238561293215762,2,30145.608000000007
BI Developer,Full-Time,Senior,Expert,70000,United States,70000,United States,Medium,2024,0.4852214339167814,2,30145.608000000007
Business Intelligence Analyst,Full-Time,Senior,Expert,127000,United States,127000,United States,Medium,2024,0.8803303158204464,2,30145.608000000007
Business Intelligence Analyst,Full-Time,Senior,Expert,72600,United States,72600,United States,Medium,2024,0.5032439443194048,2,30145.608000000007
Data Developer,Full-Time,Entry,Junior,70000,United States,70000,United States,Medium,2024,0.4852214339167814,0,30145.608000000007
Data Developer,Full-Time,Entry,Junior,50000,United States,50000,United States,Medium,2024,0.3465867385119867,0,30145.608000000007
Data Analyst,Full-Time,Entry,Junior,83000,United States,83000,United States,Medium,2024,0.575333985929898,0,30145.608000000007
Data Analyst,Full-Time,Entry,Junior,71000,United States,71000,United States,Medium,2024,0.4921531686870212,0,30145.608000000007
AI Architect,Full-Time,Senior,Expert,198650,United States,198650,United States,Medium,2024,1.3769891121081237,2,30145.608000000007
AI Architect,Full-Time,Senior,Expert,137000,United States,137000,United States,Medium,2024,0.9496476635228436,2,30145.608000000007
Data Architect,Full-Time,Senior,Expert,160000,United States,160000,United States,Medium,2024,1.1090775632383576,2,30145.608000000007
Data Architect,Full-Time,Senior,Expert,100000,United States,100000,United States,Medium,2024,0.6931734770239735,2,30145.608000000007
Data Analyst,Full-Time,Entry,Junior,92700,United States,92700,United States,Medium,2024,0.6425718132012235,0,30145.608000000007
Data Analyst,Full-Time,Entry,Junior,64900,United States,64900,United States,Medium,2024,0.4498695865885588,0,30145.608000000007
Data Scientist,Full-Time,Mid,Intermediate,166000,United States,166000,United States,Medium,2024,1.150667971859796,1,30145.608000000007
Data Scientist,Full-Time,Mid,Intermediate,73000,United States,73000,United States,Medium,2024,0.5060166382275006,1,30145.608000000007
