country,cost
Bermuda,4603.856
Switzerland,3866.4120000000003
Cayman Islands,3849.182
Us Virgin Islands,3535.596
Bahamas,3049.71
Iceland,2953.2219999999998
Singapore,2822.2740000000003
Barbados,2736.1240000000003
Norway,2729.232
Denmark,2591.392
Jersey,2560.378
United States,2512.1340000000005
Australia,2508.688
Hong Kong (China),2463.89
Canada,2357.0640000000003
New Zealand,2350.172
Guernsey,2326.05
Israel,2315.712
Austria,2301.928
Ireland,2291.59
France,2274.36
Finland,2257.13
Luxembourg,2250.2380000000003
Puerto Rico,2219.224
South Korea,2219.224
Netherlands,2215.7780000000002
United Kingdom,2195.102
Belgium,2170.98
Germany,2160.642
Sweden,2143.412
Isle Of Man,2060.708
Italy,2029.694
United Arab Emirates,1991.7879999999998
Cyprus,1967.6660000000002
Macao (China),1936.6520000000003
Yemen,1933.2060000000001
Uruguay,1905.6379999999997
Malta,1898.746
Qatar,1895.3000000000002
Greece,1867.7320000000002
Bahrain,1850.5020000000002
Costa Rica,1847.056
Trinidad And Tobago,1847.056
Jamaica,1829.826
Estonia,1826.38
Latvia,1771.2440000000001
Japan,1747.122
Brunei,1740.23
Maldives,1723.0
Slovenia,1698.878
Taiwan,1688.54
Czech Republic,1674.7559999999999
Lithuania,1667.864
Spain,1667.864
Belize,1654.08
Slovakia,1650.634
Panama,1633.404
Saudi Arabia,1633.404
Croatia,1616.174
Portugal,1605.836
Lebanon,1595.4979999999998
Guyana,1592.0520000000001
Cuba,1571.376
Ivory Coast,1540.362
Oman,1530.0240000000001
Senegal,1516.24
Mexico,1509.3479999999997
Kuwait,1495.564
Hungary,1495.564
Palestine,1492.118
Ethiopia,1485.2259999999999
Jordan,1481.78
Mozambique,1481.78
Poland,1443.874
El Salvador,1416.306
Montenegro,1409.414
Albania,1405.9679999999998
Chile,1374.954
Mauritius,1371.5079999999998
Zambia,1368.0620000000001
Cameroon,1364.616
Venezuela,1357.724
Dominican Republic,1343.94
Romania,1337.0479999999998
Bulgaria,1333.602
Armenia,1330.156
Myanmar,1330.156
Cambodia,1326.71
Serbia,1319.8179999999998
Guatemala,1299.142
Honduras,1285.358
Georgia,1281.9120000000003
Zimbabwe,1275.02
Thailand,1240.56
Brazil,1212.9920000000002
Fiji,1199.2079999999999
Bosnia And Herzegovina,1195.7620000000002
Moldova,1192.316
China,1175.086
North Macedonia,1175.086
Turkey,1164.7479999999998
South Africa,1164.7479999999998
Ecuador,1157.856
Philippines,1157.856
Nicaragua,1157.856
Kazakhstan,1154.41
Sri Lanka,1144.0720000000001
Mongolia,1126.842
Kosovo (Disputed Territory),1078.598
Azerbaijan,1071.706
Peru,1064.814
Namibia,1061.368
Vietnam,1061.368
Colombia,1054.4759999999999
Malaysia,1051.03
Uganda,1047.584
Iraq,1040.692
Botswana,1037.2459999999999
Morocco,1030.354
Algeria,1016.5699999999999
Russia,1016.5699999999999
Egypt,1002.7860000000002
Somalia,999.3399999999999
Tunisia,989.002
Ukraine,985.5560000000002
Indonesia,982.1099999999999
Bolivia,975.2180000000001
Argentina,957.988
Paraguay,951.0960000000001
Uzbekistan,933.8660000000001
Belarus,933.8660000000001
Nepal,926.9739999999998
Iran,926.9739999999998
Kyrgyzstan,926.9739999999998
Rwanda,906.298
Tanzania,895.96
Ghana,895.96
Madagascar,868.392
Syria,861.5
Bangladesh,858.054
Kenya,854.608
Afghanistan,785.688
India,765.0120000000001
Libya,730.552
Nigeria,665.078
Pakistan,637.51
