-,country,cost_of_living_index,rent_index,cost_of_living_plus_rent_index,groceries_index,resturant_price_index,local_purchasing_power_index
1,Bermuda,133.6,91.4,113.6,143.6,124.2,84.3
2,Switzerland,112.2,52.8,84,116.7,104.1,118.9
3,Cayman Islands,111.7,76,94.8,109,99.5,73.7
4,Us Virgin Islands,102.6,47.9,76.7,104.1,83.5,55.8
5,Bahamas,88.5,41.8,66.3,80.5,80.4,38
6,Iceland,85.7,41,64.5,86.5,88,109.1
7,Singapore,81.9,71.9,77.1,75,55.3,103
8,Barbados,79.4,19.9,51.2,78.6,71.8,34.4
9,Norway,79.2,27.8,54.8,77.5,75.9,94.9
10,Denmark,75.2,28.6,53.1,65,82.6,103.3
11,Jersey,74.3,52.5,64,64.1,93.6,72
12,United States,72.9,44.7,59.5,74.2,68.4,120.9
13,Australia,72.8,36.6,55.6,73.9,66.9,93.6
14,Hong Kong (China),71.5,61.4,66.7,79.6,47,84.1
15,Canada,68.4,36,53.1,70.7,64,83.3
16,New Zealand,68.2,28.8,49.5,71.7,58.8,93
17,Guernsey,67.5,46.7,57.6,68.8,63.6,83.2
18,Israel,67.2,31.2,50.1,60.2,71.9,79.5
19,Austria,66.8,23.7,46.4,64.8,59,84.4
20,Ireland,66.5,47.3,57.4,58.9,65.9,82
21,France,66,22.3,45.3,68.6,57.9,83.4
22,Finland,65.5,20.8,44.3,61.6,63.8,97.3
23,Luxembourg,65.3,42.4,54.4,65.1,69.4,148.9
24,Puerto Rico,64.4,25.3,45.9,64.1,50.3,77.1
25,South Korea,64.4,17.1,42,83.1,32.4,90.6
26,Netherlands,64.3,34.5,50.2,57.4,61,103.3
27,United Kingdom,63.7,33.5,49.4,55.5,63.9,90.1
28,Belgium,63,21.4,43.3,56.1,67.8,90.7
29,Germany,62.7,26.3,45.4,57.6,52.5,101
30,Sweden,62.2,23.1,43.6,61.8,56.1,94.6
31,Isle Of Man,59.8,27.4,44.5,48.7,67.9,167.1
32,Italy,58.9,21.1,41,56.8,55,62.8
33,United Arab Emirates,57.8,46.9,52.6,45,50,98.7
34,Cyprus,57.1,25,41.8,49.3,54,59.4
35,Macao (China),56.2,30.5,44,64,38.6,96.9
36,Yemen,56.1,7.1,32.8,64,30.2,17.1
37,Uruguay,55.3,15.2,36.3,50.3,50.4,47
38,Malta,55.1,25.3,40.9,49.9,57.5,58.3
39,Qatar,55,40.4,48.1,44.3,49.5,127.4
40,Greece,54.2,13.6,34.9,47.9,52.9,42.1
41,Bahrain,53.7,22.6,39,46.4,43.4,83.6
42,Costa Rica,53.6,16.5,36,54.2,44.1,37
43,Trinidad And Tobago,53.6,13.3,34.5,53.9,44.6,35.4
44,Jamaica,53.1,13.4,34.3,57.2,38.4,28.1
45,Estonia,53,15.5,35.2,45.2,48.8,69
46,Latvia,51.4,11.7,32.6,42.6,46.2,51.9
47,Japan,50.7,15.1,33.8,55.4,30.9,99.5
48,Brunei,50.5,17.4,34.8,65.6,25.6,87
49,Maldives,50,23.1,37.3,47.5,28,40.8
50,Slovenia,49.3,17,34,46.3,41.2,68
51,Taiwan,49,13.7,32.2,61.8,24.8,80
52,Czech Republic,48.6,21,35.5,44.1,34.5,64.9
53,Lithuania,48.4,15.8,32.9,43.6,45.1,61.8
54,Spain,48.4,23.6,36.6,45.1,44,78.2
55,Belize,48,10.7,30.3,47.4,27.9,52.4
56,Slovakia,47.9,15.1,32.4,45.1,35.5,55.8
57,Panama,47.4,21.5,35.1,46.4,43.2,34.7
58,Saudi Arabia,47.4,12.2,30.7,40.8,32.9,105.1
